   185/299     9.97G    0.0214   0.00514         0   0.02654        14       320    0.8398    0.7188    0.8102    0.5023   0.04069   0.01081         0
   186/299     9.97G   0.02149  0.005176         0   0.02666        29       320    0.8072    0.7422       0.8    0.5013   0.03992   0.01086         0
   187/299     9.97G   0.02138  0.005479         0   0.02686        33       320    0.8138    0.7457     0.805    0.5107   0.04025   0.01048         0
   188/299     9.97G   0.02178  0.005523         0    0.0273        21       320    0.7842    0.7659    0.7992    0.4981   0.04098   0.01046         0
   189/299     9.97G   0.01986  0.005387         0   0.02525        18       320    0.8078    0.6889    0.7919    0.4851   0.04118   0.01061         0
   190/299     9.97G   0.02215  0.005763         0   0.02792        22       320    0.7882    0.7591    0.8116    0.4924   0.04206   0.01045         0
   191/299     9.97G   0.02239  0.005913         0    0.0283        24       320    0.7869    0.7656    0.8091     0.493   0.04036   0.01073         0
   192/299     9.97G   0.02137  0.005464         0   0.02683        13       320    0.7796    0.7692    0.8125    0.4996   0.03938   0.01093         0
   193/299     9.97G    0.0213  0.005441         0   0.02675        12       320    0.8564    0.7191    0.8102    0.5129   0.04053   0.01088         0
   194/299     9.97G   0.02164  0.005337         0   0.02698        14       320    0.8296    0.7191    0.7971    0.4948   0.04151   0.01093         0
   195/299     9.97G   0.02171  0.006346         0   0.02805        72       320    0.8267    0.7057    0.7994     0.501   0.04071    0.0107         0
   196/299     9.97G   0.02073  0.005278         0     0.026        31       320    0.8178    0.7357    0.7994    0.4948   0.04058   0.01085         0
   197/299     9.97G   0.02032  0.005605         0   0.02592        16       320    0.8116    0.7491    0.8055    0.4924   0.04054   0.01097         0
   198/299     9.97G    0.0197  0.005376         0   0.02507        28       320    0.7951    0.7658    0.8173    0.5177   0.03962   0.01077         0
   199/299     9.97G   0.02214  0.005587         0   0.02773        61       320    0.8225    0.7291    0.8013    0.5028    0.0399   0.01083         0
   200/299     9.97G   0.02088  0.005139         0   0.02602         5       320    0.7844    0.7422    0.7915    0.4962     0.041    0.0108         0
   201/299     9.97G   0.02112  0.006078         0    0.0272        26       320    0.7615    0.7692    0.7946    0.5011   0.03965   0.01076         0
   202/299     9.97G   0.02135  0.005635         0   0.02698        25       320    0.8331    0.7525    0.8094    0.5095   0.03886   0.01117         0
   203/299     9.97G    0.0198  0.005004         0    0.0248         5       320    0.8073    0.7291    0.8043    0.4977   0.03896   0.01144         0
   204/299     9.97G   0.02005  0.005584         0   0.02563        15       320    0.7977    0.7258     0.795    0.4955   0.04035   0.01129         0
